iter	Passed	Remaining
869	117418	4723
870	117558	4588
871	117695	4454
872	117851	4319
873	118011	4185
874	118159	4051
875	118314	3916
876	118462	3782
877	118600	3647
878	118742	3512
879	118879	3377
880	119019	3242
881	119145	3106
882	119288	2972
883	119426	2837
884	119562	2701
885	119700	2566
886	119843	2432
887	119982	2296
888	120130	2162
889	120267	2026
890	120411	1891
891	120549	1756
892	120684	1621
893	120821	1486
894	120959	1351
895	121095	1216
896	121233	1081
897	121371	946
898	121510	810
899	121646	675
900	121782	540
901	121924	405
902	122063	270
903	122209	135
904	122349	0
